Date,Dhaka - 8486 - Sahri,Dhaka - 8486 - Iftar,Naraynganj - 8547 - Sahri,Naraynganj - 8547 - Iftar,Kishorganj - 8516 - Sahri,Kishorganj - 8516 - Iftar,Gazipur - 8496 - Sahri,Gazipur - 8496 - Iftar,Gopalganj - 8497 - Sahri,Gopalganj - 8497 - Iftar,Tangail - 8599 - Sahri,Tangail - 8599 - Iftar,Narsingdi - 8548 - Sahri,Narsingdi - 8548 - Iftar,Faridpur - 8490 - Sahri,Faridpur - 8490 - Iftar,Madaripur - 8527 - Sahri,Madaripur - 8527 - Iftar,Manikganj - 8531 - Sahri,Manikganj - 8531 - Iftar,Munsiganj - 8540 - Sahri,Munsiganj - 8540 - Iftar,Rajbari - 8573 - Sahri,Rajbari - 8573 - Iftar,Shariyatpur - 8589 - Sahri,Shariyatpur - 8589 - Iftar,Sylhet - 8596 - Sahri,Sylhet - 8596 - Iftar,Moulovibazar - 8533 - Sahri,Moulovibazar - 8533 - Iftar,Hobigonj - 8498 - Sahri,Hobigonj - 8498 - Iftar,Sunamganj - 8595 - Sahri,Sunamganj - 8595 - Iftar,Sirajganj - 8593 - Sahri,Sirajganj - 8593 - Iftar,Rajshahi - 8574 - Sahri,Rajshahi - 8574 - Iftar,Bogura - 8469 - Sahri,Bogura - 8469 - Iftar,Pabna - 8558 - Sahri,Pabna - 8558 - Iftar,Natore - 8549 - Sahri,Natore - 8549 - Iftar,Naogaon - 8545 - Sahri,Naogaon - 8545 - Iftar,Joypurhat - 8509 - Sahri,Joypurhat - 8509 - Iftar,Chapainobangonj - 8475 - Sahri,Chapainobangonj - 8475 - Iftar,Lalmonirhat - 8524 - Sahri,Lalmonirhat - 8524 - Iftar,Rangpur - 8577 - Sahri,Rangpur - 8577 - Iftar,Panchgarh - 8560 - Sahri,Panchgarh - 8560 - Iftar,Nilphamari - 8552 - Sahri,Nilphamari - 8552 - Iftar,Dinajpur - 8487 - Sahri,Dinajpur - 8487 - Iftar,Thakurgaon - 8601 - Sahri,Thakurgaon - 8601 - Iftar,Gaibandha - 8494 - Sahri,Gaibandha - 8494 - Iftar,Kurigram - 8517 - Sahri,Kurigram - 8517 - Iftar,Sherpur - 8590 - Sahri,Sherpur - 8590 - Iftar,Mymensing - 8541 - Sahri,Mymensing - 8541 - Iftar,Netrokona - 8551 - Sahri,Netrokona - 8551 - Iftar,Jamalpur - 8502 - Sahri,Jamalpur - 8502 - Iftar,Bhola - 8465 - Sahri,Bhola - 8465 - Iftar,Barishal - 8460 - Sahri,Barishal - 8460 - Iftar,Borguna - 8459 - Sahri,Borguna - 8459 - Iftar,Pirojpur - 8567 - Sahri,Pirojpur - 8567 - Iftar,Potuakhali - 8565 - Sahri,Potuakhali - 8565 - Iftar,Jhalokathi - 8505 - Sahri,Jhalokathi - 8505 - Iftar,Lokkhipur - 8521 - Sahri,Lokkhipur - 8521 - Iftar,Rangamati - 8576 - Sahri,Rangamati - 8576 - Iftar,Brahmanbaria - 8470 - Sahri,Brahmanbaria - 8470 - Iftar,Bandarban - 8457 - Sahri,Bandarban - 8457 - Iftar,Feni - 8492 - Sahri,Feni - 8492 - Iftar,Noakhali - 8553 - Sahri,Noakhali - 8553 - Iftar,Chandpur - 8474 - Sahri,Chandpur - 8474 - Iftar,Chottogram - 8481 - Sahri,Chottogram - 8481 - Iftar,Khagrachori - 8512 - Sahri,Khagrachori - 8512 - Iftar,Comilla - 8483 - Sahri,Comilla - 8483 - Iftar,Cox’s bazar - 8485 - Sahri,Cox’s bazar - 8485 - Iftar,Satkhira - 8587 - Sahri,Satkhira - 8587 - Iftar,Jessore - 8504 - Sahri,Jessore - 8504 - Iftar,Meherpur - 8536 - Sahri,Meherpur - 8536 - Iftar,Magura - 8528 - Sahri,Magura - 8528 - Iftar,Bagerhat - 8456 - Sahri,Bagerhat - 8456 - Iftar,Norail - 8545 - Sahri,Norail - 8545 - Iftar,Jhinaidah - 8506 - Sahri,Jhinaidah - 8506 - Iftar,Chuadanga - 8482 - Sahri,Chuadanga - 8482 - Iftar,Khulna - 8514 - Sahri,Khulna - 8514 - Iftar,Kushthia - 8518 - Sahri,Kushthia - 8518 - Iftar
19-02,5:12,5:58,5:11,5:56,5:09,5:55,5:11,5:57,5:13,6:00,5:13,5:58,5:10,5:55,5:13,6:00,5:12,5:59,5:13,5:59,5:11,5:57,5:15,6:01,5:11,5:57,5:04,5:50,5:05,5:51,5:08,5:53,5:08,5:53,5:15,6:00,5:18,6:04,5:15,6:01,5:15,6:01,5:17,6:02,5:18,6:03,5:17,6:01,5:20,6:05,5:16,6:00,5:17,6:00,5:20,6:02,5:18,6:01,5:17,6:02,5:20,6:04,5:16,6:00,5:15,5:58,5:13,5:57,5:11,5:57,5:09,5:55,5:14,5:58,5:09,5:57,5:11,5:59,5:12,6:00,5:13,5:59,5:11,5:59,5:12,5:59,5:10,5:56,5:03,5:51,5:09,5:55,5:02,5:51,5:07,5:54,5:08,5:55,5:10,5:56,5:05,5:53,5:05,5:52,5:08,5:55,5:03,5:52,5:16,6:03,5:16,6:03,5:19,6:04,5:15,6:01,5:14,6:01,5:15,6:01,5:16,6:03,5:18,6:03,5:15,6:02,5:17,6:03
20-02,5:11,5:58,5:10,5:57,5:09,5:55,5:11,5:58,5:13,6:00,5:12,5:59,5:10,5:56,5:12,6:01,5:12,5:59,5:12,6:00,5:10,5:58,5:14,6:01,5:11,5:58,5:04,5:51,5:04,5:51,5:07,5:53,5:07,5:54,5:14,6:01,5:18,6:05,5:15,6:02,5:14,6:02,5:16,6:03,5:17,6:04,5:17,6:02,5:20,6:06,5:16,6:00,5:16,6:01,5:19,6:03,5:17,6:01,5:17,6:03,5:20,6:04,5:15,6:00,5:15,5:59,5:13,5:58,5:10,5:57,5:09,5:55,5:13,5:59,5:09,5:58,5:10,5:59,5:11,6:00,5:12,6:00,5:10,6:00,5:11,6:00,5:09,5:56,5:02,5:52,5:08,5:56,5:02,5:52,5:07,5:54,5:07,5:55,5:09,5:57,5:04,5:54,5:04,5:52,5:08,5:56,5:03,5:53,5:15,6:04,5:15,6:04,5:18,6:04,5:15,6:02,5:13,6:01,5:14,6:01,5:16,6:04,5:17,6:04,5:14,6:02,5:16,6:03
21-02,5:11,5:59,5:10,5:57,5:08,5:56,5:10,5:58,5:12,6:01,5:12,5:59,5:09,5:57,5:12,6:01,5:11,6:00,5:12,6:00,5:10,5:58,5:13,6:02,5:10,5:58,5:03,5:52,5:04,5:52,5:06,5:54,5:06,5:54,5:13,6:01,5:17,6:05,5:14,6:02,5:14,6:03,5:16,6:03,5:16,6:05,5:16,6:02,5:19,6:06,5:15,6:01,5:15,6:02,5:18,6:04,5:17,6:02,5:16,6:04,5:19,6:05,5:14,6:01,5:14,5:59,5:12,5:58,5:10,5:58,5:08,5:56,5:12,5:59,5:08,5:58,5:09,6:00,5:11,6:01,5:12,6:00,5:10,6:00,5:11,6:00,5:08,5:57,5:02,5:52,5:08,5:56,5:01,5:52,5:06,5:55,5:07,5:56,5:08,5:57,5:03,5:54,5:04,5:53,5:07,5:57,5:02,5:53,5:15,6:04,5:14,6:04,5:17,6:05,5:14,6:02,5:12,6:02,5:13,6:02,5:15,6:05,5:17,6:05,5:13,6:03,5:15,6:04
22-02,5:10,5:59,5:09,5:58,5:07,5:57,5:09,5:59,5:11,6:01,5:11,6:00,5:08,5:57,5:11,6:02,5:10,6:00,5:11,6:01,5:09,5:59,5:13,6:02,5:09,5:59,5:02,5:52,5:03,5:53,5:06,5:54,5:05,5:55,5:13,6:02,5:16,6:06,5:13,6:03,5:13,6:03,5:15,6:04,5:16,6:05,5:15,6:03,5:18,6:07,5:14,6:02,5:14,6:02,5:17,6:04,5:16,6:03,5:15,6:04,5:18,6:05,5:13,6:02,5:13,6:00,5:11,5:59,5:09,5:58,5:07,5:57,5:11,6:00,5:08,5:59,5:09,6:00,5:10,6:01,5:11,6:01,5:09,6:01,5:10,6:01,5:08,5:58,5:01,5:53,5:07,5:57,5:01,5:53,5:05,5:55,5:06,5:57,5:08,5:58,5:03,5:55,5:03,5:53,5:06,5:57,5:02,5:54,5:14,6:05,5:14,6:05,5:16,6:05,5:13,6:03,5:12,6:02,5:13,6:02,5:14,6:05,5:16,6:05,5:13,6:03,5:15,6:04
23-02,5:09,6:00,5:08,5:58,5:06,5:57,5:09,5:59,5:11,6:02,5:10,6:00,5:07,5:58,5:10,6:02,5:10,6:01,5:10,6:01,5:08,5:59,5:12,6:03,5:09,6:00,5:02,5:53,5:02,5:53,5:05,5:55,5:05,5:55,5:12,6:02,5:16,6:06,5:12,6:03,5:12,6:04,5:14,6:04,5:15,6:06,5:14,6:03,5:17,6:07,5:13,6:02,5:14,6:03,5:17,6:05,5:15,6:03,5:14,6:05,5:17,6:06,5:13,6:02,5:12,6:01,5:10,5:59,5:08,5:59,5:06,5:57,5:11,6:00,5:07,5:59,5:08,6:01,5:09,6:02,5:10,6:01,5:08,6:01,5:09,6:01,5:07,5:58,5:00,5:53,5:06,5:57,5:00,5:53,5:05,5:56,5:05,5:57,5:07,5:58,5:02,5:55,5:02,5:54,5:06,5:58,5:01,5:54,5:13,6:05,5:13,6:05,5:16,6:06,5:13,6:03,5:11,6:03,5:12,6:03,5:14,6:06,5:15,6:06,5:12,6:04,5:14,6:05
24-02,5:08,6:00,5:08,5:59,5:06,5:58,5:08,6:00,5:10,6:02,5:09,6:01,5:07,5:58,5:10,6:03,5:09,6:01,5:09,6:02,5:08,6:00,5:11,6:03,5:08,6:00,5:01,5:53,5:02,5:54,5:04,5:56,5:04,5:56,5:11,6:03,5:15,6:07,5:12,6:04,5:12,6:04,5:13,6:05,5:14,6:06,5:14,6:04,5:17,6:08,5:13,6:03,5:13,6:03,5:16,6:05,5:14,6:04,5:14,6:05,5:16,6:07,5:12,6:03,5:11,6:01,5:10,6:00,5:07,5:59,5:06,5:58,5:10,6:01,5:06,6:00,5:07,6:01,5:09,6:02,5:10,6:02,5:08,6:02,5:09,6:02,5:06,5:59,5:00,5:54,5:05,5:58,4:59,5:54,5:04,5:56,5:04,5:58,5:06,5:59,5:01,5:56,5:02,5:54,5:05,5:58,5:00,5:55,5:13,6:06,5:12,6:06,5:15,6:06,5:12,6:04,5:10,6:03,5:11,6:03,5:13,6:06,5:14,6:06,5:11,6:04,5:13,6:05
25-02,5:08,6:01,5:07,6:00,5:05,5:58,5:07,6:00,5:09,6:03,5:09,6:02,5:06,5:59,5:09,6:03,5:08,6:02,5:09,6:02,5:07,6:01,5:10,6:04,5:07,6:01,5:00,5:54,5:01,5:54,5:03,5:56,5:03,5:56,5:11,6:04,5:14,6:07,5:11,6:04,5:11,6:05,5:13,6:05,5:13,6:07,5:13,6:04,5:16,6:08,5:12,6:03,5:12,6:04,5:15,6:06,5:13,6:04,5:13,6:06,5:16,6:07,5:11,6:03,5:11,6:02,5:09,6:01,5:07,6:00,5:05,5:58,5:09,6:02,5:05,6:00,5:07,6:02,5:08,6:03,5:09,6:02,5:07,6:02,5:08,6:02,5:06,5:59,4:59,5:54,5:05,5:58,4:59,5:54,5:03,5:57,5:04,5:58,5:06,5:59,5:01,5:56,5:01,5:55,5:04,5:59,5:00,5:55,5:12,6:06,5:11,6:06,5:14,6:07,5:11,6:04,5:10,6:04,5:10,6:04,5:12,6:07,5:14,6:07,5:11,6:05,5:12,6:06
26-02,5:07,6:01,5:06,6:00,5:04,5:59,5:06,6:01,5:08,6:03,5:08,6:02,5:05,5:59,5:08,6:04,5:07,6:02,5:08,6:03,5:06,6:01,5:10,6:04,5:06,6:01,4:59,5:54,5:00,5:55,5:02,5:57,5:02,5:57,5:10,6:04,5:13,6:08,5:10,6:05,5:10,6:05,5:12,6:06,5:13,6:07,5:12,6:05,5:15,6:09,5:11,6:04,5:11,6:04,5:14,6:07,5:12,6:05,5:12,6:07,5:15,6:08,5:10,6:04,5:10,6:02,5:08,6:01,5:06,6:01,5:04,5:59,5:08,6:02,5:05,6:01,5:06,6:02,5:07,6:03,5:08,6:03,5:06,6:03,5:07,6:02,5:05,5:59,4:58,5:55,5:04,5:59,4:58,5:55,5:03,5:57,5:03,5:58,5:05,6:00,5:00,5:57,5:00,5:55,5:03,5:59,4:59,5:56,5:11,6:07,5:11,6:07,5:13,6:07,5:10,6:05,5:09,6:04,5:10,6:04,5:11,6:07,5:13,6:07,5:10,6:05,5:12,6:07
27-02,5:06,6:02,5:05,6:00,5:03,5:59,5:05,6:01,5:08,6:04,5:07,6:03,5:04,6:00,5:07,6:04,5:07,6:03,5:07,6:03,5:05,6:01,5:09,6:05,5:06,6:02,4:58,5:55,4:59,5:55,5:02,5:57,5:01,5:57,5:09,6:05,5:12,6:08,5:09,6:06,5:09,6:06,5:11,6:06,5:12,6:08,5:11,6:05,5:14,6:09,5:10,6:05,5:10,6:05,5:13,6:07,5:12,6:06,5:11,6:07,5:14,6:08,5:09,6:04,5:09,6:03,5:07,6:02,5:05,6:01,5:03,5:59,5:07,6:03,5:04,6:01,5:05,6:03,5:06,6:04,5:07,6:03,5:05,6:03,5:07,6:03,5:04,6:00,4:58,5:55,5:03,5:59,4:57,5:55,5:02,5:58,5:02,5:59,5:04,6:00,4:59,5:57,4:59,5:56,5:03,6:00,4:58,5:56,5:10,6:07,5:10,6:07,5:13,6:08,5:10,6:05,5:08,6:05,5:09,6:05,5:11,6:08,5:12,6:08,5:09,6:06,5:11,6:07
28-02,5:05,6:02,5:04,6:01,5:02,6:00,5:05,6:02,5:07,6:04,5:06,6:03,5:03,6:00,5:06,6:05,5:06,6:03,5:06,6:04,5:05,6:02,5:08,6:05,5:05,6:02,4:57,5:55,4:58,5:56,5:01,5:58,5:01,5:58,5:08,6:05,5:12,6:09,5:08,6:06,5:08,6:06,5:10,6:07,5:11,6:08,5:10,6:06,5:13,6:10,5:09,6:05,5:09,6:06,5:12,6:08,5:11,6:06,5:10,6:08,5:13,6:09,5:08,6:05,5:08,6:03,5:06,6:02,5:04,6:02,5:02,6:00,5:07,6:03,5:03,6:01,5:04,6:03,5:06,6:04,5:07,6:04,5:05,6:03,5:06,6:03,5:03,6:00,4:57,5:56,5:02,6:00,4:56,5:55,5:01,5:58,5:02,5:59,5:03,6:01,4:58,5:58,4:59,5:56,5:02,6:00,4:58,5:56,5:10,6:07,5:09,6:08,5:12,6:08,5:09,6:06,5:07,6:05,5:08,6:05,5:10,6:08,5:11,6:08,5:08,6:06,5:10,6:08
01-03,5:05,6:03,5:04,6:01,5:02,6:00,5:04,6:02,5:06,6:05,5:05,6:04,5:03,6:01,5:06,6:05,5:05,6:04,5:06,6:04,5:04,6:02,5:07,6:06,5:04,6:02,4:57,5:56,4:57,5:56,5:00,5:58,5:00,5:59,5:07,6:06,5:11,6:09,5:08,6:07,5:08,6:07,5:09,6:07,5:10,6:09,5:09,6:07,5:13,6:10,5:08,6:06,5:08,6:06,5:11,6:08,5:10,6:07,5:09,6:08,5:12,6:09,5:08,6:05,5:07,6:04,5:05,6:03,5:03,6:02,5:02,6:00,5:06,6:04,5:02,6:02,5:04,6:03,5:05,6:04,5:06,6:04,5:04,6:04,5:05,6:04,5:02,6:01,4:56,5:56,5:01,6:00,4:56,5:56,5:00,5:59,5:01,6:00,5:02,6:01,4:58,5:58,4:58,5:57,5:01,6:01,4:57,5:57,5:09,6:08,5:08,6:08,5:11,6:09,5:08,6:06,5:07,6:06,5:07,6:06,5:09,6:09,5:10,6:09,5:08,6:07,5:09,6:08
02-03,5:04,6:03,5:03,6:02,5:01,6:01,5:03,6:03,5:05,6:05,5:05,6:04,5:02,6:01,5:05,6:06,5:04,6:04,5:05,6:05,5:03,6:03,5:06,6:06,5:03,6:03,4:56,5:56,4:57,5:57,4:59,5:59,4:59,5:59,5:06,6:06,5:10,6:10,5:07,6:07,5:07,6:07,5:08,6:08,5:09,6:09,5:09,6:07,5:12,6:11,5:07,6:06,5:08,6:07,5:11,6:09,5:09,6:07,5:09,6:09,5:11,6:10,5:07,6:06,5:06,6:05,5:05,6:03,5:02,6:03,5:01,6:01,5:05,6:04,5:02,6:02,5:03,6:04,5:04,6:05,5:05,6:05,5:03,6:04,5:04,6:04,5:02,6:01,4:55,5:56,5:00,6:01,4:55,5:56,4:59,5:59,5:00,6:00,5:02,6:02,4:57,5:59,4:57,5:57,5:00,6:01,4:56,5:57,5:08,6:08,5:07,6:09,5:10,6:09,5:07,6:07,5:06,6:06,5:06,6:06,5:08,6:09,5:10,6:09,5:07,6:07,5:08,6:09
